"Tabela dinâmica - em cada bairro, quantas unidades de saúde contém esses serviços
(em azul, as top 5)",,,,,,,,"Em cada bairro, quais tipos de atendimento (horário) ocorrem nas unidades de saúde
(em azul, as top 5)",,,,,,,
BAIRRO,CENTRO_CIRURGICO,CENTRO_OBSTETRICO,CENTRO_NEONATAL,ATEND_HOSPITALAR,SERVICO_APOIO,ATEND_AMBULATORIAL,,COUNTA of DS_TURNO_ATENDIMENTO,DS_TURNO_ATENDIMENTO,,,,,,
BEIRA MAR,0,0,0,0,1,0,,BAIRRO,ATENDIMENTO COM TURNOS INTERMITENTES,"ATENDIMENTO CONTINUO DE 24 HORAS/DIA (PLANTAO:INCLUI SABADOS, DOMINGOS E FERIADOS)","ATENDIMENTO NOS TURNOS DA MANHA, TARDE E NOITE",ATENDIMENTO SOMENTE A TARDE,ATENDIMENTO SOMENTE PELA MANHA,ATENDIMENTOS NOS TURNOS DA MANHA E A TARDE,Grand Total
BOA VISTA,0,0,0,0,3,0,,BEIRA MAR,,,,,,1,1
CATIAPOA,0,0,0,0,5,0,,BOA VISTA,,,,,,4,4
CENTRO,0,2,2,3,202,3,,CATIAPOA,,,,,,5,5
CIDADE NAUTICA,0,0,0,0,3,0,,CENTRO,3,3,36,21,5,195,263
CIDADE NAUTICA III,0,0,0,0,2,0,,CIDADE NAUTICA,,6,,,,2,8
CJTO HUMAITA,0,0,0,0,1,1,,CIDADE NAUTICA III,,,1,,,1,2
CONJUNTO RESIDENCIAL,0,0,0,0,1,0,,CJTO HUMAITA,,1,,,,,1
ESPLANADA DOS BARREI,0,0,0,0,1,0,,CONJUNTO RESIDENCIAL,,,,,,1,1
GONZAGUINHA,0,0,0,0,4,0,,ESPLANADA DOS BARREI,,,,,,2,2
HUMAITA,0,0,0,0,4,0,,GONZAGUINHA,,,1,,,4,5
ITARARE,0,0,0,1,16,1,,HUMAITA,,1,,1,,3,5
JAPUI,0,0,0,0,1,0,,ITARARE,,1,2,,1,20,24
JARDIM GUASSU,0,0,0,0,3,0,,JAPUI,,,,,,1,1
JARDIM INDEPENDENCIA,0,0,0,0,9,0,,JARDIM GUASSU,,,,,,3,3
JARDIM IRMA DOLORES,0,0,0,0,2,0,,JARDIM INDEPENDENCIA,,,5,,,4,9
JARDIM PARAISO,0,0,0,0,1,0,,JARDIM IRMA DOLORES,,,,,,2,2
JARDIM RIO BRANCO,0,0,0,0,11,1,,JARDIM PARAISO,,,1,,,1,2
JARDIM RIO NEGRO,0,0,0,0,1,0,,JARDIM RIO BRANCO,,8,2,,,10,20
JOQUEI CLUBE,0,0,0,0,2,0,,JARDIM RIO NEGRO,,,,,,1,1
PARQUE BITARU,0,0,0,0,2,0,,JOQUEI CLUBE,,,,,,2,2
PARQUE DAS BANDEIRAS,0,0,0,0,3,0,,PARQUE BITARU,,1,,,,2,3
PARQUE SAO VICENTE,0,0,0,0,5,0,,PARQUE DAS BANDEIRAS,,1,,,,2,3
POMPEBA,0,0,0,0,1,0,,PARQUE SAO VICENTE,,,1,,,5,6
PONTE NOVA,0,0,0,0,1,0,,POMPEBA,,,,,,1,1
PQ BITARU,0,0,0,0,1,0,,PONTE NOVA,,,,,,1,1
PQ CONTINENTAL,0,0,0,0,1,0,,PQ BITARU,,,,,,1,1
SAMARITA,0,0,0,0,5,0,,PQ CONTINENTAL,,,,,,1,1
VILA CASCATINHA,0,0,0,0,4,0,,SAMARITA,,2,1,,,3,6
VILA EMA,0,0,0,0,1,0,,VILA CASCATINHA,,,2,,,6,8
VILA MARGARIDA,0,0,0,0,6,0,,VILA EMA,,,,,,1,1
VILA MELO,0,0,0,0,1,0,,VILA MARGARIDA,,,,,,7,7
VILA NOSSA DO AMPARO,0,0,0,0,1,0,,VILA MELO,,,,,,1,1
VILA SAO JORGE,0,0,0,1,6,1,,VILA NOSSA DO AMPARO,,,1,,,,1
VILA SAO JOSE,0,0,0,0,1,0,,VILA SAO JORGE,,2,2,,,4,8
VILA VALENCA,0,0,0,0,10,0,,VILA SAO JOSE,,,1,,,,1
VILA VOTURUA,0,0,0,0,3,0,,VILA VALENCA,,,1,,1,10,12
VL NOSSA SRA DE FATI,0,0,0,0,1,0,,VILA VOTURUA,,1,,,,3,4
Grand Total,0,2,2,5,326,7,,VL NOSSA SRA DE FATI,,1,,,,,1
,,,,,,,,Grand Total,3,28,57,22,7,310,427